[1/15552] Nouveau meilleur -> F1=0.976, MSE=696.56, score=-68.680  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[2/15552] Nouveau meilleur -> F1=0.976, MSE=274.91, score=-26.515  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 40}
[3/15552] Nouveau meilleur -> F1=0.976, MSE=118.31, score=-10.855  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 50}
[9/15552] Nouveau meilleur -> F1=0.966, MSE=109.96, score=-10.030  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 25, 'maxRadius': 150, 'minDist': 50}
[15/15552] Nouveau meilleur -> F1=0.962, MSE=109.47, score=-9.985  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 30, 'maxRadius': 150, 'minDist': 50}
[19/15552] Nouveau meilleur -> F1=0.885, MSE=68.71, score=-5.987  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[20/15552] Nouveau meilleur -> F1=0.885, MSE=37.07, score=-2.822  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 40}
[21/15552] Nouveau meilleur -> F1=0.885, MSE=27.35, score=-1.850  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 50}
[27/15552] Nouveau meilleur -> F1=0.872, MSE=25.97, score=-1.724  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 80, 'minRadius': 25, 'maxRadius': 150, 'minDist': 50}
[33/15552] Nouveau meilleur -> F1=0.833, MSE=24.51, score=-1.618  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 50, 'param2': 80, 'minRadius': 30, 'maxRadius': 150, 'minDist': 50}
[73/15552] Nouveau meilleur -> F1=0.696, MSE=22.67, score=-1.571  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 80, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[110/15552] Nouveau meilleur -> F1=0.872, MSE=24.29, score=-1.557  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 40}
[111/15552] Nouveau meilleur -> F1=0.872, MSE=21.51, score=-1.278  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 50}
[117/15552] Nouveau meilleur -> F1=0.855, MSE=21.05, score=-1.250  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 25, 'maxRadius': 150, 'minDist': 50}
[123/15552] Nouveau meilleur -> F1=0.846, MSE=20.85, score=-1.239  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 30, 'maxRadius': 150, 'minDist': 50}
[303/15552] Nouveau meilleur -> F1=0.872, MSE=20.67, score=-1.195  Params: {'kernel_size': 5, 'sigma': 1.0, 'poids_v': 0.8, 'dp': 1.2, 'param1': 100, 'param2': 80, 'minRadius': 30, 'maxRadius': 150, 'minDist': 50}
[1041/15552] Nouveau meilleur -> F1=0.905, MSE=20.69, score=-1.164  Params: {'kernel_size': 5, 'sigma': 1.5, 'poids_v': 0.8, 'dp': 1, 'param1': 80, 'param2': 60, 'minRadius': 30, 'maxRadius': 150, 'minDist': 50}
[1081/15552] Nouveau meilleur -> F1=0.855, MSE=19.43, score=-1.088  Params: {'kernel_size': 5, 'sigma': 1.5, 'poids_v': 0.8, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
